share,quantity,purchaseDate
MSFT,0.4542357483533954,2014-10-10
MSFT,0.8893020959714072,2015-06-17
MSFT,7.272280819375663,2015-10-12
MSFT,7.652147865909376,2016-02-22
MSFT,13.60571008063452,2016-06-16
MSFT,13.939488451796068,2016-10-31
MSFT,18.591372464821347,2017-02-21
MSFT,18.883045208003498,2017-07-06
MSFT,22.459156782684627,2017-10-30
MSFT,22.67099874857807,2018-03-13
MSFT,25.636597799586376,2018-07-06
MSFT,25.827765836290638,2018-11-19
MSFT,28.44785317253518,2019-03-13
MSFT,28.589355931838984,2019-07-26
MSFT,30.58483285082262,2019-11-18
MSFT,30.716316645444934,2020-04-01
MSFT,44.26645214679995,2020-10-12
MSFT,44.35978361350395,2020-12-07
MSFT,54.55588870136039,2021-10-11
MSFT,67.64203919209103,2022-10-10
GOOG,64.80422046318573,2014-10-10
GOOG,113.20913980032357,2015-11-16
GOOG,157.63781016043436,2016-12-19
GOOG,160.76196273404878,2017-10-05
GOOG,163.46214186393226,2018-01-13
GOOG,193.99073220317487,2018-01-22
GOOG,196.82955653246714,2018-04-23
GOOG,199.3133911160386,2018-08-01
GOOG,202.15567693914326,2018-11-09
GOOG,204.87673205547517,2019-02-17
GOOG,236.51900694719183,2019-02-26
GOOG,239.19087841948652,2019-05-28
GOOG,241.69240810488915,2019-09-05
GOOG,243.94069092267998,2019-12-14
GOOG,246.80861224756788,2020-03-23
GOOG,278.7230584406541,2020-04-01
GOOG,280.83030374002203,2020-07-01
GOOG,282.8302133441079,2020-10-09
GOOG,284.7420764547092,2020-10-12
GOOG,286.48745169031304,2021-01-17
GOOG,287.8009087407929,2021-04-27
GOOG,302.6182392465985,2021-05-06
GOOG,303.6985611825354,2021-10-11
GOOG,319.5318384255858,2022-06-10
GOOG,349.92389596788144,2022-10-10
META,17.6962335336547,2017-10-05
META,34.59037988088684,2018-01-13
META,52.862829412381245,2018-04-23
META,70.51679405149008,2018-08-01
META,91.42120237311694,2018-11-09
META,110.06922102113559,2019-02-17
META,126.51055914876312,2019-05-28
META,142.38433091567268,2019-09-05
META,157.99559787926563,2019-12-14
META,178.45679322229756,2020-03-23
META,191.21327830039917,2020-07-01
META,202.67216667363806,2020-10-09
META,214.72779617038788,2021-01-17
META,224.71001783360566,2021-04-27
AAPL,0.1985505807604487,2014-10-10
AAPL,0.35565977164811563,2015-06-17
AAPL,0.5621007295341602,2016-02-22
AAPL,0.7382501042038802,2016-10-31
AAPL,0.8783748151966637,2017-07-06
AAPL,0.9895044479132276,2018-03-13
AAPL,1.0971123248098165,2018-11-19
AAPL,1.193386513699775,2019-07-26
AAPL,1.2764050683467385,2020-04-01
AAPL,1.4380212299629,2020-12-07
MGM,17.52336448598131,2020-10-12
MGM,25.96550766472962,2021-10-11
MGM,37.90058086651192,2022-10-10
TSLA,0.4205590280880861,2013-10-10
TSLA,0.949100254303731,2013-11-14
TSLA,1.465922829113799,2013-12-19
TSLA,1.866624056261307,2014-01-23
TSLA,2.154607238043491,2014-02-27
TSLA,2.4772659457953665,2014-04-03
TSLA,2.884496321109061,2014-05-08
TSLA,3.241843376569324,2014-06-12
TSLA,3.579481597215901,2014-07-17
TSLA,3.8654266814624716,2014-08-21
TSLA,4.15992869696064,2014-09-25
TSLA,24.469856517652044,2014-10-10
TSLA,24.774588239462453,2014-10-30
TSLA,25.0931762573671,2014-12-04
TSLA,25.43848534137001,2015-01-08
TSLA,25.79695967460775,2015-02-12
TSLA,26.16868097656161,2015-03-19
TSLA,26.50137664320055,2015-04-23
TSLA,26.790608191131643,2015-05-28
TSLA,27.05032989932132,2015-07-02
TSLA,27.345813069707994,2015-08-06
TSLA,27.638501707535074,2015-09-10
TSLA,27.967123426966065,2015-10-15
TSLA,50.418828900345744,2015-11-16
TSLA,50.74672462950387,2015-11-19
TSLA,51.06214846056287,2015-12-24
TSLA,51.44552891774406,2016-01-28
TSLA,51.817079304620904,2016-03-03
TSLA,52.099844750683395,2016-04-07
TSLA,52.45070963261736,2016-05-12
TSLA,52.78442813271957,2016-06-16
TSLA,53.11425703397704,2016-07-21
TSLA,53.44339928925977,2016-08-25
TSLA,53.80576736463233,2016-09-29
TSLA,54.193811718101934,2016-11-03
TSLA,54.57202833221225,2016-12-08
TSLA,78.30618213283377,2016-12-19
TSLA,91.99267945903698,2018-01-22
TSLA,108.1466611954232,2019-02-26
TSLA,118.13840677229837,2020-04-01
TSLA,125.389853557722,2021-05-06
TSLA,132.2962609986211,2022-06-10
QCOM,1.3298756566261054,2013-10-10
QCOM,2.577964520553217,2013-11-14
QCOM,3.8052030803887673,2013-12-19
QCOM,4.976797767206863,2014-01-23
QCOM,6.158988070290902,2014-02-27
QCOM,7.262512451282694,2014-04-03
QCOM,8.380611682589473,2014-05-08
QCOM,9.500965714463545,2014-06-12
QCOM,10.63896198752575,2014-07-17
QCOM,11.796821683877045,2014-08-21
QCOM,12.985016963771296,2014-09-25
QCOM,14.133897523276127,2014-10-30
QCOM,15.345908552576494,2014-12-04
QCOM,16.53896792965037,2015-01-08
QCOM,17.801773568077543,2015-02-12
QCOM,19.074706245850546,2015-03-19
